id,start,end,label,category,region,certainty,uncertainty,source,link
gvp-15953,1919-05-19,1919-05-20,Kelud eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=263280
gvp-15955,1951-08-31,,Kelud eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=263280
gvp-15956,1966-04-26,1966-04-27,Kelud eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=263280
gvp-15957,1990-02-10,1990-03-13,Kelud eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=263280
gvp-16009,830 BC,,Tengger Caldera eruption (VEI 4),nature,ASIA_SOUTH,approx,50,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=263310
gvp-16105,1593,,Raung eruption (VEI 5),nature,ASIA_SOUTH,year,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=263340
gvp-16107,1638,,Raung eruption (VEI 4),nature,ASIA_SOUTH,year,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=263340
gvp-16113,1817-01-16,1817-02-10,Raung eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=263340
gvp-16209,1843-07-02,,Agung eruption (VEI 5),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=264020
gvp-16210,1963-02-18,1964-01-27,Agung eruption (VEI 5),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=264020
gvp-16231,1812-07-02,1815-07-15,Tambora eruption (VEI 7),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=264040
gvp-16375,1660-02,,Teon eruption (VEI 4),nature,ASIA_SOUTH,year,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=265050
gvp-16386,1693-06-04,1693-07,Serua eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=265070
gvp-16423,1983-07-18,1983-12-16,Colo eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=266010
gvp-16471,1680,,Tangkoko-Duasudara eruption (VEI 5),nature,ASIA_SOUTH,year,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=266130
gvp-16493,2002-09-25,2002-09-29,Ruang eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=267010
gvp-16556,1812-08-06,1812-08-08,Awu eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=267040
gvp-16567,1966-08-12,1966-10-16,Awu eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=267040
gvp-16584,1673-05-20,,Gamkonora eruption (VEI 5),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=268040
gvp-16680,1646-07-19,1646-07-21,Kie Besi eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=268070
gvp-16682,1760-09-22,1761-04-30,Kie Besi eruption (VEI 4),nature,ASIA_SOUTH,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=268070
